Mes,CustomerID,Year_Birth,Columna Extra D,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,Columna Extra M,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response
Febrero,5524,1957,D,Graduation,Single,58138.0,0,0,2012-09-04,58,635,M,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1
Febrero,2174,1954,D,Graduation,Single,46344.0,1,1,2014-03-08,38,11,M,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0
Febrero,4141,1965,D,Graduation,Together,71613.0,0,0,2013-08-21,26,426,M,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0
Febrero,6182,1984,D,Graduation,Together,26646.0,1,0,2014-02-10,26,11,M,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0
Febrero,5324,1981,D,PhD,Married,58293.0,1,0,2014-01-19,94,173,M,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0
Febrero,7446,1967,D,Master,Together,62513.0,0,1,2013-09-09,16,520,M,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0
Febrero,965,1971,D,Graduation,Divorced,55635.0,0,1,2012-11-13,34,235,M,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0
Febrero,6177,1985,D,PhD,Married,33454.0,1,0,2013-05-08,32,76,M,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0
Febrero,4855,1974,D,PhD,Together,30351.0,1,0,2013-06-06,19,14,M,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1
Febrero,5899,1950,D,PhD,Together,5648.0,1,1,2014-03-13,68,28,M,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0
Febrero,1994,1983,D,Graduation,Married,,1,0,2013-11-15,11,5,M,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0
Febrero,387,1976,D,Basic,Married,7500.0,0,0,2012-11-13,59,6,M,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,3,11,0
Febrero,2125,1959,D,Graduation,Divorced,63033.0,0,0,2013-11-15,82,194,M,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,3,11,0
Febrero,8180,1952,D,Master,Divorced,59354.0,1,1,2013-11-15,53,233,M,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0
Febrero,2569,1987,D,Graduation,Married,17323.0,0,0,2012-10-10,38,3,M,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0
Febrero,2114,1946,D,PhD,Single,82800.0,0,0,2012-11-24,23,1006,M,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1
Febrero,9736,1980,D,Graduation,Married,41850.0,1,1,2012-12-24,51,53,M,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0
Febrero,4939,1946,D,Graduation,Together,37760.0,0,0,2012-08-31,20,84,M,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0
Febrero,6565,1949,D,Master,Married,76995.0,0,1,2013-03-28,91,1012,M,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0
Febrero,2278,1985,D,2n Cycle,Single,33812.0,1,0,2012-11-03,86,4,M,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0
Febrero,9360,1982,D,Graduation,Married,37040.0,0,0,2012-08-08,41,86,M,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0
